Match Number,Date & Time,Venue,Team 1,Team 1 Score,Team 2,Team 2 Score,winner,winning_margin,Winning Margin Value,Winning Margin Type
74,2024-05-26 19:30:00,"MA Chidambaram Stadium,",Kolkata Knight Riders,114,Sunrisers Hyderabad,113,KOLKATA KNIGHT RIDERS,8 WICKETS,8,WICKETS
73,2024-05-24 19:30:00,"MA Chidambaram Stadium,",Sunrisers Hyderabad,175,Rajasthan Royals,139,SUNRISERS HYDERABAD,36 RUNS,36,RUNS
72,2024-05-22 19:30:00,"Narendra Modi Stadium,",Rajasthan Royals,174,Royal Challengers Bengaluru,172,RAJASTHAN ROYALS,4 WICKETS,4,WICKETS
71,2024-05-21 19:30:00,"Narendra Modi Stadium,",Kolkata Knight Riders,164,Sunrisers Hyderabad,159,KOLKATA KNIGHT RIDERS,8 WICKETS,8,WICKETS
69,2024-05-19 15:30:00,"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,215,Punjab Kings,214,SUNRISERS HYDERABAD,4 WICKETS,4,WICKETS
68,2024-05-18 19:30:00,"M Chinnaswamy Stadium,",Royal Challengers Bengaluru,218,Chennai Super Kings,191,ROYAL CHALLENGERS BENGALURU,27 RUNS,27,RUNS
67,2024-05-17 19:30:00,"Wankhede Stadium,",Mumbai Indians,196,Lucknow Super Giants,214,LUCKNOW SUPER GIANTS,18 RUNS,18,RUNS
65,2024-05-15 19:30:00,"Barsapara Cricket Stadium,",Rajasthan Royals,144,Punjab Kings,145,PUNJAB KINGS,5 WICKETS,5,WICKETS
64,2024-05-14 19:30:00,"Arun Jaitley Stadium,",Delhi Capitals,208,Lucknow Super Giants,189,DELHI CAPITALS,19 RUNS,19,RUNS
62,2024-05-12 19:30:00,"M Chinnaswamy Stadium,",Royal Challengers Bengaluru,187,Delhi Capitals,140,ROYAL CHALLENGERS BENGALURU,47 RUNS,47,RUNS
61,2024-05-12 15:30:00,"MA Chidambaram Stadium,",Chennai Super Kings,145,Rajasthan Royals,141,CHENNAI SUPER KINGS,5 WICKETS,5,WICKETS
60,2024-05-11 19:30:00,"Eden Gardens,",Kolkata Knight Riders,157,Mumbai Indians,139,KOLKATA KNIGHT RIDERS,18 RUNS,18,RUNS
59,2024-05-10 19:30:00,"Narendra Modi Stadium,",Gujarat Titans,231,Chennai Super Kings,196,GUJARAT TITANS,35 RUNS,35,RUNS
58,2024-05-09 19:30:00,"Himachal Pradesh Cricket Association Stadium,",Punjab Kings,181,Royal Challengers Bengaluru,241,ROYAL CHALLENGERS BENGALURU,60 RUNS,60,RUNS
57,2024-05-08 19:30:00,"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,167,Lucknow Super Giants,165,SUNRISERS HYDERABAD,10 WICKETS,10,WICKETS
56,2024-05-07 19:30:00,"Arun Jaitley Stadium,",Delhi Capitals,221,Rajasthan Royals,201,DELHI CAPITALS,20 RUNS,20,RUNS
55,2024-05-06 19:30:00,"Wankhede Stadium,",Mumbai Indians,174,Sunrisers Hyderabad,173,MUMBAI INDIANS,7 WICKETS,7,WICKETS
54,2024-05-05 19:30:00,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,137,Kolkata Knight Riders,235,KOLKATA KNIGHT RIDERS,98 RUNS,98,RUNS
53,2024-05-05 15:30:00,"Himachal Pradesh Cricket Association Stadium,",Punjab Kings,139,Chennai Super Kings,167,CHENNAI SUPER KINGS,28 RUNS,28,RUNS
52,2024-05-04 19:30:00,"M Chinnaswamy Stadium,",Royal Challengers Bengaluru,152,Gujarat Titans,147,ROYAL CHALLENGERS BENGALURU,4 WICKETS,4,WICKETS
51,2024-05-03 19:30:00,"Wankhede Stadium,",Mumbai Indians,145,Kolkata Knight Riders,169,KOLKATA KNIGHT RIDERS,24 RUNS,24,RUNS
50,2024-05-02 19:30:00,"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,201,Rajasthan Royals,200,SUNRISERS HYDERABAD,1 RUN,1,
49,2024-05-01 19:30:00,"MA Chidambaram Stadium,",Chennai Super Kings,162,Punjab Kings,163,PUNJAB KINGS,7 WICKETS,7,WICKETS
